brand,energy_kcal,sugars,fat
Bjorg,294.16468963267687,11.884138047138048,10.426075869809203
Carrefour,300.7042253521127,8.349645390070922,15.563829787234043
Danone,83.13736639058769,6.920442422226365,2.0281812474854166
Hacendado,378.8330599740154,8.19068779630905,22.56275160053246
Heinz,157.4745744680851,9.472393617021277,10.849315789473684
Lidl,284.43296722741627,10.695882352941176,14.869709306761267
Milbona,179.65440022075396,4.467297297297297,12.029605263157896
Nestlé,282.9215570175438,19.738904761904767,7.837151315789474
Sainsbury's,256.3906410063543,9.365,13.44070987654321
Tesco,246.98651149132067,7.35454297033325,12.56360515440507
